accident_id;timestamp;address
1309786;26/10/2013 12:40;73, RUE DE PRONY
1309787;23/05/2012 19:12;AVENUE BRUNETIERE
1309788;01/10/2013 13:15;110, RUE DE COURCELLES
1309789;20/04/2012 12:00;19, RUE NICOLAS CHUQUET
1309790;17/01/2012 13:10;BOULEVARD DE COURCELLES
1309791;01/10/2013 08:35;BOULEVARD DE COURCELLES
1309792;24/05/2013 19:30;7, AVENUE DE LA PORTE D
1309793;20/10/2013 01:44;BOULEVARD BERTHIER
1309794;25/09/2012 07:30;PLACE DE WAGRAM
1309795;26/06/2012 09:20;48, RUE DE PRONY
